9.3396820e+01   3.6628075e-01   9.9991835e-01
9.1923928e+01   2.8710657e-01   9.9994983e-01
8.8407865e+01   1.0043865e+00   9.9938603e-01
8.7347350e+01   5.1045522e-01   9.9984142e-01
9.6727181e+01   6.2397824e-01   9.9976304e-01
9.6727181e+01   6.2397824e-01   9.9976304e-01
8.7049913e+01   1.6866386e-01   9.9998269e-01
9.1195711e+01   2.4385522e-01   9.9996381e-01
9.6315389e+01   1.7187278e+00   9.9820213e-01
9.0057859e+01   5.2937323e-01   9.9982944e-01
9.1326196e+01   2.0450781e-01   9.9997455e-01
9.0303214e+01   1.2727287e-01   9.9999014e-01
9.1235745e+01   1.4999980e-01   9.9998631e-01
9.0666471e+01   5.2117878e-01   9.9983468e-01
8.8637668e+01   4.0963732e-01   9.9989787e-01
9.0221855e+01   1.6739984e-01   9.9998294e-01
8.9832196e+01   3.6426795e-01   9.9991924e-01
8.8358966e+01   1.1720384e+00   9.9916396e-01
9.3937114e+01   5.6092659e-01   9.9980851e-01
9.4651114e+01   5.7927644e-01   9.9979577e-01
9.0408302e+01   4.8360523e-01   9.9985766e-01
8.9927088e+01   1.0905874e-01   9.9999276e-01
9.1750216e+01   4.5956519e-01   9.9987146e-01
9.0316319e+01   9.9539265e-02   9.9999397e-01
9.5344648e+01   6.2013855e-01   9.9976594e-01
9.0834270e+01   6.3353498e-01   9.9975572e-01
9.3461120e+01   3.1656762e-01   9.9993901e-01
8.5988373e+01   7.3130453e-01   9.9967451e-01
8.1679829e+01   1.6638317e+00   9.9831514e-01
8.9999816e+01   5.1542601e-01   9.9983831e-01
8.4236202e+01   6.4509527e-01   9.9974673e-01
9.3569597e+01   6.3189462e-01   9.9975698e-01
8.1985680e+01   8.4907945e-01   9.9956123e-01
9.3575814e+01   4.0593000e-01   9.9989971e-01
9.0945650e+01   1.6549982e-01   9.9998333e-01
9.1750216e+01   4.5956519e-01   9.9987146e-01
9.5236847e+01   3.3438250e-01   9.9993195e-01
9.3036800e+01   9.3289194e-01   9.9947033e-01
8.4932528e+01   1.0216168e+00   9.9936479e-01
9.3937114e+01   5.6092659e-01   9.9980851e-01
8.0814097e+01   3.1829345e+00   9.9383405e-01
9.1817338e+01   8.3479108e-01   9.9957587e-01
9.2071339e+01   5.3079627e-01   9.9982853e-01
8.5666615e+01   4.7736473e-01   9.9986131e-01
8.9106817e+01   1.7167334e-01   9.9998206e-01
8.9862202e+01   1.1231482e-01   9.9999232e-01
8.4769411e+01   1.7180133e+00   9.9820362e-01
9.4397876e+01   8.5741807e-01   9.9955257e-01
8.9453825e+01   4.6427560e-01   9.9986881e-01
8.9299996e+01   4.7206233e-01   9.9986437e-01
8.7800575e+01   6.0632339e-01   9.9977626e-01
8.3392602e+01   7.0055978e-01   9.9970130e-01
8.7188831e+01   3.5058415e-01   9.9992520e-01
